难得的蓝天白云。。 我在:http://t.cn/zQyM690
童鞋们，这是蓝天的颜色! 我在:http://t.cn/zRNthPx
经历两天雾霾天后，今儿天气☁️真好吖。。 我在:http://t.cn/zRNKJrm
#带着微博去旅行##旅行最美风景照#上周日早晨的蓝天白云，记得小时候常有，现在少见了。 我在:http://t.cn/zQsgeeY
#MIUI天气# 今天北京空气质量指数为42, 优。所有人群可在户外正常自由活动。 2013-11-11 07:00发布。 我在:http://t.cn/zR9oWtx
经过北方人民几天几夜的玩命呼吸，空气质量终于有所改善。新的北方人精神由此诞生：＂厚德载雾，自强不吸，霾头苦干，再创灰黄！＂ 事实再次证明：雾以吸为贵啊！为此2013年最精准的新年新词：喂人民服雾！雾霾来了，小伙伴们要坚挺@安耀童 @大马村的小阿欣 @婉贞大嗓门 @杨铁群 
#MIUI天气# 今天涿州空气质量指数为36, 优。所有人群可在户外正常自由活动。 2013-10-20 15:00发布。这个真的准么 我在:http://t.cn/zRIsmiE
多漂亮的蓝天啊！ 我在:http://t.cn/zRYlyAn
在廊涿高速入口已经等了两个半小时，听说是因为雾霾的过，可这样的天气像有雾吗？晕菜！ 我在:http://t.cn/zRZi01I
久违的蓝天白云 我在:http://t.cn/z8MDtGo
在廊坊这么多天，就见过这么一次蓝天 我在:http://t.cn/zQQ3brg
还是蓝天白云让人心情好 我在:http://t.cn/zQdgsOo
喜欢这灿烂的阳光，蓝天和树木！ 我在:http://t.cn/zRTBVeV
喜欢今天的蓝天和阳光 我在:http://t.cn/zRWMnFE
难得的蓝天白云[浮云][浮云][浮云] 我在这里:http://t.cn/z850kRv
蓝天白云。 我在:http://t.cn/zQbbYQM
今天天气出奇的好，蓝天白云的，天空此刻很漂亮[浮云][浮云][浮云] 我在:http://t.cn/zQ3iNmG
空气质量良，气温才31度，今天算是近期比较理想的一天了，要学会知足，天天保持这样的水平就很不错了[挖鼻屎]
蓝天白云~[浮云][浮云][浮云][嘻嘻][嘻嘻][嘻嘻][嘻嘻] 我在这里:http://t.cn/zHkiVTz
这不是电脑蓝屏，这是天津少有的蓝天。 我在:http://t.cn/zQbJRC8
我在#中国，河北，涞水#，蓝天白云呀……天气不错  http://t.cn/zQB7r8q (免费下载http://t.cn/zj9vjC3 )
蓝天白云，微风拂面，晒晒太阳[太阳][太阳][太阳] 我在这里:http://t.cn/z8AbVGo
没有雾霾的北京，不能相信啊 我在这里:http://t.cn/zHeckc6
蓝天白云，空气清新 我在这里:http://t.cn/zHefKMW
天好蓝 我在这里:http://t.cn/zHeckc6
空气质量真好 我在这里:http://t.cn/z8xWbKe
蓝天白云&青山[嘻嘻] 我在这里:http://t.cn/z8AbVGo
清早起来空气好[愉快]此时此刻，美景、暖阳… 我在这里:http://t.cn/z8AbVGo
山好水好空气好，满天星星，孔明灯烟花还有萤火虫[带着微博去旅行][带着微博去旅行][带着微博去旅行] 我在这里:http://t.cn/z8AbVGo
蓝天白云 山羊树影 水清沙白 我在这里:http://t.cn/z8AbVGo
空气好好～天空好蓝 我在:http://t.cn/zQxBRuA
行走在蓝天白云下[可爱] 我在这里:http://t.cn/zHeVozi
蓝天，白云，青山，绿水，还有一位老船长[嘻嘻] 我在这里:http://t.cn/zHeVozi
久违的蓝天白云 我在这里:http://t.cn/zHeVozi
#带着微博去旅行#青山绿水蓝天 http://t.cn/zQ5gbwP
难得的蓝天白云 我在这里:http://t.cn/z8AahlW
好有感觉的蓝天。[害羞] 我在这里:http://t.cn/zHeVozi
蓝天白云[浮云][浮云][兔子][兔子] 我在:http://t.cn/zQqJUfT
京郊阳光明媚，木有雾霾 我在:http://t.cn/zRyGsrV
今日暴晒，不宜出门，但有久违的蓝天！！！ 我在:http://t.cn/zQBaigE
雾霾，雾霾，你让我这个来自海南的朋友情何以堪[泪] 我在这里:http://t.cn/z8A4de5
蓝天白云，终于有一种秋高气爽的感觉啦！ 我在:http://t.cn/zQ1kbhv
百里峡空气好清新[呵呵] 我在这里:http://t.cn/zHekgzA
空气好心情好痘痘也好了吧哈哈哈[哈哈][哈哈][哈哈] 我在这里:http://t.cn/z8AbNSY
空气好新鲜~蓝天白云~一会儿还有大马带我去嘎得儿嘎得儿~ 我在这里:http://t.cn/zHekgzA
人少就是好![笑哈哈]空气好!风景好!粥也好喝! 我在:http://t.cn/z8OqPyD
空气好！ 我在:http://t.cn/z8QxPYT
蓝天白云[太阳] 我在这里:http://t.cn/zHekgzA
久违的蓝天！ 我在#物廉美购物中心北京分店# http://t.cn/zQyrvbf
再临魔都，不过并没有雾霾，看起来运气还不错，不过就是堵的厉害 我在:http://t.cn/8DkZGIu
雾霾散尽，外面的阳光灿烂的一塌糊涂。久违了阳光，久违了温暖，久违了透明。但，一切会不会转瞬即逝，终于摆脱的还会卷土重来？ 我在:http://t.cn/zRNtmdX
虽然有点雾霾，还是蓝天白云，出游吧。阿门！ 我在:http://t.cn/zQJx1fW
天空蓝，空气好，歌动听！这个季节，适合外出，放飞心情！ 我在:http://t.cn/zRI9lkK
天很蓝。[浮云][浮云] 我在这里:http://t.cn/z8AmE7U
雾霾中午过去了   享受一下晴天吧 我在:http://t.cn/zRaClXs
多难得的蓝天 我在:http://t.cn/8Dk4g0U
早安北京！今天是大晴天儿，没雾霾，也没我想象的冷嘛[嘻嘻] 我在这里:http://t.cn/z8A4Zcv
久违的蓝天、白云！（随走随拍2013） 我在:http://t.cn/z8GUJEp
北京平谷参加培训，空气质量好时的首都郊区挺漂亮。 我在:http://t.cn/z8ULuM7
蓟县无雾霾无压力[酷] 我在:http://t.cn/zRLt6fD
这里今天没有雾霾，有阳光☀ 我在这里:http://t.cn/z8yM6kN
谁说北京有雾霾了，多给力的天呐[给力] 我在:http://t.cn/zRJ16wA
