final_result: 江阴 南通 苏州 昆山 太仓

上海 0.0 
太仓 0.1665	0.563097 -~
昆山 0.256	0.533023 -~
吴江 0.6625	0.497937 --~
常熟 0.689	0.421291~
苏州 0.7137	0.519512 -
嘉兴 0.725	0.408455
南通 1.0042	0.584543 -
张家港 1.2689	0.507422 -~
无锡 1.4914	0.383778
宁波 1.8037 	0.443636
江阴 1.8589	0.518697 -~	
湖州 1.9994	0.446039 -
绍兴 2.2562	0.408202
常州 2.5337	0.472202 --
杭州 2.5549	0.372429
宜兴 2.704	0.433704~	
金坛 3.7096	0.434834~
诸暨 3.7384	0.363152~
溧阳 3.9209	0.389051~
临安 3.973	0.277634~
镇江 5.101	0.432260
扬州 5.4728	0.424353
义乌 5.5144	0.374120
句容 5.7625	0.395269~
盐城 6.4778	0.503875 -
泰州 6.5552	0.442605
金华 7.7282	0.341627
南京 7.888	0.407438
